ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc,Percent_paid,Deuda
1,384,0.0165600716526475,37950,20,bajo,menos de 5,17355,entre 5-15,mas de 20,Mortgage,Bachelor,Divorced,entre 10-20,0.19656637,0.80343363,628.45
2,516,0.1388254602981935,22909,46,medio,entre 5-15,7175,entre 5-15,menos de 10,Rent,Bachelor,Married,menos de 10,0.2644376,0.7355624000000001,3180.35
3,638,0.3911487278164464,126521,80,medio,entre 5-15,1910,entre 5-15,mas de 20,Rent,Bachelor,Single,menos de 10,0.28756785,0.7124321499999999,49488.53
4,363,0.4635208582708384,39543,54,alto,menos de 5,19339,menos de 5,mas de 20,Own,High School,Widowed,menos de 10,0.18134822,0.8186517799999999,18329.01
5,804,0.5048240925979235,38522,72,bajo,entre 5-15,7928,mas de 15,entre 10-20,Own,PhD,Married,menos de 10,0.34337643,0.65662357,19446.83
6,677,0.2979061168311544,90725,81,bajo,entre 5-15,12544,mas de 15,entre 10-20,Mortgage,Bachelor,Widowed,menos de 10,0.24908046,0.7509195399999999,27027.53
7,762,0.9564537353789224,29165,58,medio,entre 5-15,19569,entre 5-15,mas de 20,Own,High School,Divorced,menos de 10,0.27579767,0.72420233,27894.97
8,737,0.479046981473649,34979,63,medio,entre 5-15,2904,entre 5-15,entre 10-20,Mortgage,High School,Widowed,entre 10-20,0.15640634,0.84359366,16756.58
9,692,0.8913242803068694,32533,75,medio,entre 5-15,3748,menos de 5,menos de 10,Own,Masters,Widowed,mas de 20,0.20831849,0.79168151,28997.45
10,481,0.1193026762903878,166969,46,medio,mas de 15,10173,entre 5-15,entre 10-20,Own,Bachelor,Married,entre 10-20,0.2870989,0.7129011000000001,19919.85
11,676,0.6118008639865199,189324,24,alto,menos de 5,16173,entre 5-15,menos de 10,Rent,Bachelor,Divorced,entre 10-20,0.19305047,0.80694953,115828.59
12,777,0.848085681881443,111233,29,medio,entre 5-15,7268,entre 5-15,entre 10-20,Own,Masters,Single,entre 10-20,0.25259054,0.7474094600000001,94335.11
13,310,0.2186915500985423,198397,79,medio,entre 5-15,18157,mas de 15,menos de 10,Rent,Bachelor,Divorced,mas de 20,0.23404899,0.76595101,43387.75
14,500,0.7522956248957041,110399,58,bajo,entre 5-15,17239,menos de 5,entre 10-20,Mortgage,Masters,Divorced,mas de 20,0.24081005,0.75918995,83052.68
15,411,0.4429300904574954,56459,28,alto,menos de 5,17639,entre 5-15,menos de 10,Rent,High School,Widowed,mas de 20,0.15996672,0.84003328,25007.39
16,331,0.6437690896872789,23026,78,alto,menos de 5,13546,entre 5-15,entre 10-20,Rent,Masters,Divorced,mas de 20,0.1980462,0.8019537999999999,14823.43
